" TCONST                                    ","DIRECTORS ","PRIMARYTITLE  ","ORIGINALTITLE","STARTYEAR","GENRES"
"tt0033169","nm0829038","Tom Brown's School Days","Tom Brown's School Days","1940","Drama"
"tt0033186","nm0745890","The Trouble with Husbands","The Trouble with Husbands","1940","Comedy,Short"
"tt0033213","nm0545216","L'uomo della legione","L'uomo della legione","1940","War"
"tt0033219","nm0062183","Vi tre","Vi tre","1940","Drama"
"tt0033231","nm0641045,nm0491504","Västkustens hjältar","Västkustens hjältar","1940","Drama"
"tt0033238","nm0503777","Waterloo Bridge","Waterloo Bridge","1940","Drama,Romance,War"
"tt0033258","nm0361919","Wie konntest Du, Veronika!","Wie konntest Du, Veronika!","1940",NULL
"tt0033277","nm0411657,nm0951170","Yakov Sverdlov","Yakov Sverdlov","1940","Biography,Drama"
"tt0033282","nm0293989","You Ought to Be in Pictures","You Ought to Be in Pictures","1940","Animation,Comedy,Family"
"tt0033286","nm0437356","Young Bill Hickok","Young Bill Hickok","1940","Action,Comedy,History"
"tt0033663","nm0715346","Girl in the News","Girl in the News","1940","Crime,Thriller"
"tt0123054","nm0314973,nm0048093","Changed Man","Elcserélt ember","1938","Drama"
"tt0136993","nm0850024","Mr. Lahtinen Takes French Leave","Herra Lahtinen lähtee lipettiin","1939","Comedy"
"tt0143103","nm0942007","American Spoken Here","American Spoken Here","1940","Short"
"tt0148083","nm0711197","Doomsday","Doomsday","1938","Animation,Short"
"tt0149759","nm0711197","The Baby Seal","The Baby Seal","1940","Animation,Short"
"tt0149784","nm0009778","Bandhan","Bandhan","1940",NULL
"tt0150093","nm0332441","The Charm Bracelet","The Charm Bracelet","1939","Animation,Fantasy,Short"
"tt0150564","nm0711197","The First Robin","The First Robin","1939","Animation,Short"
"tt0154281","nm0024061","Captain Kishore","Captain Kishore","1940","Action,Comedy"
"tt0154868","nm0022700","Mera Haq","Mera Haq","1939",NULL
"tt0155012","nm0823864","Personality Parade","Personality Parade","1938","Documentary,Short"
"tt0156309","nm0082234","Azadi-e-Watan","Azadi-e-Watan","1940",NULL
